2025-05-22 13:43:00 | repo=pv243-2015-management-seminar | action=pull
2024-06-16 11:27:00 | repo=pv243-2015-management-seminar | action=edit
2024-11-16 16:34:00 | repo=pv243-2015-management-seminar | action=pull
2025-10-08 10:09:00 | repo=pv243-2015-management-seminar | action=pull
2024-12-15 19:49:00 | repo=pv243-2015-management-seminar | action=edit
2024-03-06 07:35:00 | repo=pv243-2015-management-seminar | action=test
2024-02-17 08:06:00 | repo=pv243-2015-management-seminar | action=commit
2025-01-11 08:32:00 | repo=pv243-2015-management-seminar | action=pull
2024-12-09 08:02:00 | repo=pv243-2015-management-seminar | action=test
2024-08-02 10:41:00 | repo=pv243-2015-management-seminar | action=commit
2025-01-21 20:25:00 | repo=pv243-2015-management-seminar | action=commit
